English,"Hypertext is text displayed on a computer display or other electronic devices with references (hyperlinks) to other text that the reader can immediately access.[1] Hypertext documents are interconnected by hyperlinks, which are typically activated by a mouse click, keypress set, or screen touch. Apart from text, the term "hypertext" is also sometimes used to describe tables, images, and other presentational content formats with integrated hyperlinks. Hypertext is one of the key underlying concepts of the World Wide Web,[2] where Web pages are often written in the Hypertext Markup Language (HTML). As implemented on the Web, hypertext enables the easy-to-use publication of information over the Internet."
English,"An application program (software application, or application, or app for short) is a computer program designed to carry out a specific task other than one relating to the operation of the computer itself,[1] typically to be used by end-users.[2] Word processors, media players, and accounting software are examples. The collective noun "application software" refers to all applications collectively.[3] The other principal classifications of software are system software, relating to the operation of the computer, and utility software ("utilities")."
Japanese,"shizen chiriteki ni wa, Yu-Rashia tairiku no higashi ni ichishiteori, kantaiheiyō kazantai o kōseisuru 2 . tōshokoku de ari, ryōdo ga umi ni kakomareteiru tame jitsuzuki no kokkyō wa sonzaishinai. ryōdo o torimaku umi wa takoku kara Nippon e no shinryaku o hijō ni muzukashiku shiteiru 12 . Nippon rettō wa Honshū, Hokkaidō, Kyūshū, Shikoku, Okinawatō ijō hondo mo fukumete 1 man 4125 no shima o yūsuru 13 . kikō kubun wa, kita wa akantai 14 kara minami wa nettai 15 made samazamana kikō kubun ni zokushiteiru 16 . kishō jōken ya chishitsu kōzōjō, samazamana shizen saigai ga hasseishi yasuku, taifū ya jishin nado no saigai higai wa sekai yūsū kibo de aru"
Polish,"Konstytucja Rzeczypospolitej Polskiej to najważniejszy akt prawny w Polsce, uchwalony 2 kwietnia 1997 przez Zgromadzenie Narodowe i zatwierdzony w ogólnonarodowym referendum 25 maja 1997. Został ogłoszony w Dzienniku Ustaw: Dz.U. z 1997 r. nr 78, poz. 483, wszedł w życie 17 października 1997. Konstytucja złożona jest z preambuły i 13 rozdziałów, w tym 243 artykuły. Konstytucja określa charakter ustroju państwowego. Ukazuje sposób zorganizowania i działania głównych organów państwa. Definiuje status prawny obywateli i sposób ich wpływania na politykę państwa."
Polish,"Środowisko przyrodnicze Polski jest urozmaicone. Większą część północnej granicy Polski oblewa Morze Bałtyckie, dalej zaś w kierunku południowym rozciągają się: pojezierza i rozległe niziny. Na południu z kolei występują obszary wyżynne i dwa łańcuchy górskie: Karpaty i Sudety, zamykające południową granicę Polski[117]. W 2014 w rankingu Environmental Performance Index (EPI) dotyczącym czystości i jakości środowiska naturalnego na świecie Polska zajęła 30 miejsce[118]."
English,"A contact manager is a software program that enables users to easily store and find contact information, such as names, addresses, and telephone numbers. They are contact-centric databases that provide a fully integrated approach to tracking all information and communication activities linked to contacts. Simple ones for personal use are included in most smartphones. The main reference standard for contact data and metadata, semantic and interchange, is the vCard."
Japanese,"Nippon no kankyō seisaku no shuppatsuten wa, kuni niokeru shisaku yori mo chiiki jūmin no seikatsu ni mitchakushita mondai toshite, tokuni dai kibo kōgyō chiiki o yūsuru chihōjichitai ga sossenshite taisaku o okonai, kōgai kisei no tame no jōrei o seiteishitekita. 1949 nen Shōwa 24 nen no Tōkyōto kōjō kōgai bōshi jōrei o hajime toshite, 1950 nen Shōwa 25 nen ni Ōsakafu, 1951 nen Shōwa 26 nen ni Kanagawaken ga dokuji no kōgai bōshi jōrei no seitei o okonatteiru."
Polish,"Las naturalny różni się od pierwotnego tym, że człowiek pobiera z niego ograniczony użytek[1], jednak poza tym o składzie gatunkowym lasu decydują, podobnie jak w przypadku lasu pierwotnego, siły natury. Według Protokołu o zrównoważonej gospodarce leśnej do ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat Konwencji Karpackiej, las pierwotny (czyli dziewiczy) to rodzaj lasu naturalnego[2][3][4][5]. Definicje z tego protokołu przyjęto również w dokumentach obiektu światowego dziedzictwa UNESCO Pradawne i pierwotne lasy bukowe Karpat i innych regionów Europy. Termin las naturalny obejmuje w nich dodatkowo pojęcia las pradawny i starodrzew[4][5]."
English,"Arthur is a masculine given name possibly of Brythonic Celtic origin. Another theory is that the name is from Latin origin, derived from the Roman clan Artorius who lived in Roman Britain for centuries.[2] Its popularity derives from it being the name of the legendary hero King Arthur. It may derive from the Celtic Artos meaning “Bear”.A common spelling variant used in many Slavic, Romance, and Germanic languages is Artur. In Spanish and Italian it is Arturo."
Japanese,"2009 nen, fuxasshon burando" Mmts" o tachiageru. dōnen 8 tsuki 1 nichi ni, Honkon de no anime ibento" Honkon dō 2009" ni shutsuenshi, hatsu no Honkon raibu o okonau. 8 tsuki 25 nichi ni wa, baraethi- nyu-su kimihabureiku tobidase ! kagaku kun SP Tbs terebi no kikaku de, kaiyō kenkyū kaihatsu kikō shoyū no yūjin sensui chōsasen" Shinkai 6500" ni tōjōshi, Iwateken Sanriku oki no Nippon kaikō no kaitei suishin 5 , 351 me-toru e no chaku soko ni seikōshita. mata, shinkai seibutsu no kansatsu to hokaku no misshon o suikōshita. geinōjin no" Shinkai" e no tōjō wa Ogata Ken 18 irai 2 ninme. 10 tsuki 24 nichi ni, hatsu no Nihonbudōkan wanman raibu" Nakagawa Shōko chō don'yoku matsuri IN Nihonbudōkan" o kaisai. chiketto wa soku kanbaishita. 2010 nen 3 tsuki 3 nichi hatsubai no shōjo manga zasshi nakayoshi 2010 nen 4 tsukigō de, Hara Asumi sakuga niyoru" Nakagawa Shōko monogatari sorairo deizu" no rensai ga kaishisareru. dōnen 6 tsuki 3 nichi hatsubai no dōshi 2010 nen 7 tsukigō made rensaisareta. 8 tsuki 18 nichi, 12 th shinguru" Furainguhyu-Manoido" o riri-su. 10 saku renzoku toppu 10 iri to naru. 10 tsuki 2 nichi, hatsu shuen eiga koi no tadashii hōhō wa hon ni mo sekkeizu ni mo notteinai ga gekijō kōkai."
Japanese,"2014 nen Heisei 26 nen, minna no tō daihyō de atta Watanabe Kimi ga DHC kaichō kara no 8 oku en kariire jiken de daihyō o jininshita tame, Asao ga minna no tō no kōkei daihyō to natta. shikashi, zen daihyō no Watanabe to tō shozoku giin to no tairitsu ya, ritōsha ga aitsugu nado, tōnai no konran wa osamaranakatta. dōnen 11 tsuki ni Shūgiin ga kaisansareru to minna no tō no bunretsu wa ketteiteki to nari, Asao wa minna no tō o kaitō shita. chokugo no dōnen 12 tsuki ni okonawareta dai 47 kai Shūgiin giin sō senkyo de wa, mushozoku de rikkōhoshita Asao ga zenkai yori hyōsa o chijimeta monono tōsenshi, Jimintō no Yamamoto ga futatabi hirei fukkatsushita. sonogo Asao wa Jimin kaiha e sankashiteori, jijitsujō tō shozoku giin ga ni nin iru koto ni natta."
English,"According to the linguist and Celticist Stefan Zimmer, it is possible that Artorius has a Celtic origin, being a Latinization of the hypothetical name *Artorījos, derived from the patronym *Arto-rīg-ios, meaning "Son of the Bear/Warrior-King". *Arto-rīg-ios is unattested, but the root, *arto-rīg, "bear/warrior-king", is the source of the Old Irish personal name Artrí, while the similar *Arto-maglos, "bear-prince", produced names in several Brittonic languages. According to Zimmer's etymology, the Celtic short compositional vowel -o- was lengthened and the long -ī- in the second element of the compound -rījos was shortened by Latin speakers, under the influence of Latin agent nouns ending in -tōr (and their derivatives in -tōrius).[15] Some scholars have noted that the legendary King Arthur's name only appears as Arthur, Arthurus, or Arturus in early Latin Arthurian texts, never as Artōrius (although the Classical Latin Artōrius became Arturius in some Vulgar Latin dialects). However, this may not say anything about the origin of the name Arthur, as Artōrius would regularly become Art(h)ur when borrowed into Welsh.[16]"
